,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates
0,101001,7.6,7.5,101,55.6729159978565,12.575738616700999,1552,Den Classenske Legatskole,Grundskoler,Folkeskoler,"(55.6729159978565, 12.575738616700999)"
1,101003,7.3,7.5,101,55.69057241088161,12.5862454099148,1350,Nyboder Skole,Grundskoler,Folkeskoler,"(55.69057241088161, 12.5862454099148)"
2,101005,7.4,7.5,101,55.686493209469496,12.5832427650795,1307,Sølvgades Skole,Grundskoler,Folkeskoler,"(55.686493209469496, 12.5832427650795)"
3,101007,5.6,6.1,101,55.6902881167035,12.544704464126301,2200,Nørrebro Park Skole,Grundskoler,Folkeskoler,"(55.6902881167035, 12.544704464126301)"
4,101008,5.3,5.6,101,55.687825641869004,12.550209992394901,2200,Blågård Skole,Grundskoler,Folkeskoler,"(55.687825641869004, 12.550209992394901)"
5,101011,6.2,6.6,101,55.704386340680706,12.508446326404,2700,Bellahøj Skole,Grundskoler,Folkeskoler,"(55.704386340680706, 12.508446326404)"
6,101012,6.7,7.3,101,55.704169199945405,12.4947869758271,2700,Brønshøj Skole,Grundskoler,Folkeskoler,"(55.704169199945405, 12.4947869758271)"
7,101015,6.1,6.0,101,55.6988371703698,12.5272299764227,2400,Grøndalsvængets Skole,Grundskoler,Folkeskoler,"(55.6988371703698, 12.5272299764227)"
8,101017,6.6,6.7,101,55.7060885641584,12.473761688803698,2700,Husum Skole,Grundskoler,Folkeskoler,"(55.7060885641584, 12.473761688803698)"
9,101018,8.1,7.9,101,55.6848392747371,12.4815099396248,2720,Hyltebjerg Skole,Grundskoler,Folkeskoler,"(55.6848392747371, 12.4815099396248)"
10,101019,7.6,7.8,101,55.690223062739,12.4987635776381,2720,Katrinedals Skole,Grundskoler,Folkeskoler,"(55.690223062739, 12.4987635776381)"
11,101020,7.4,7.4,101,55.696308780138,12.482887762769302,2720,Kirkebjerg Skole,Grundskoler,Folkeskoler,"(55.696308780138, 12.482887762769302)"
12,101021,5.5,5.9,101,55.7095599787281,12.4693256156746,2700,Korsager Skole,Grundskoler,Folkeskoler,"(55.7095599787281, 12.4693256156746)"
13,101022,6.1,6.7,101,55.697004850485705,12.507010821589802,2720,Rødkilde Skole,Grundskoler,Folkeskoler,"(55.697004850485705, 12.507010821589802)"
14,101023,5.7,5.6,101,55.7190877977116,12.484466885778401,2700,Tingbjerg Skole,Grundskoler,Folkeskoler,"(55.7190877977116, 12.484466885778401)"
15,101024,5.9,6.0,101,55.6864665871815,12.4816166015543,2720,Vanløse Skole,Grundskoler,Folkeskoler,"(55.6864665871815, 12.4816166015543)"
16,101029,4.1,5.1,101,55.7097800671489,12.533511075824,2400,Tagensbo Skole,Grundskoler,Folkeskoler,"(55.7097800671489, 12.533511075824)"
17,101030,6.7,6.6,101,55.724450197991295,12.5287620322137,2400,Holbergskolen,Grundskoler,Folkeskoler,"(55.724450197991295, 12.5287620322137)"
18,101034,4.6,5.1,101,55.699025080831206,12.5495949937569,2200,Rådmandsgades Skole,Grundskoler,Folkeskoler,"(55.699025080831206, 12.5495949937569)"
19,101035,6.9,7.0,101,55.693185103816205,12.5531439907036,2200,Guldberg Skole,Grundskoler,Folkeskoler,"(55.693185103816205, 12.5531439907036)"
20,101039,7.5,7.6,101,55.7057827485052,12.5807941283846,2100,Randersgades Skole,Grundskoler,Folkeskoler,"(55.7057827485052, 12.5807941283846)"
21,101041,7.7,7.6,101,55.71124434353129,12.579208584077598,2100,Strandvejsskolen,Grundskoler,Folkeskoler,"(55.71124434353129, 12.579208584077598)"
22,101042,6.6,7.0,101,55.7087556166683,12.5788239345057,2100,Vibenshus Skole,Grundskoler,Folkeskoler,"(55.7087556166683, 12.5788239345057)"
23,101043,8.1,8.3,101,55.692564602145005,12.5775684168944,2100,Øster Farimagsgades Skole,Grundskoler,Folkeskoler,"(55.692564602145005, 12.5775684168944)"
24,101047,7.3,7.6,101,55.674008557273595,12.596668921721498,1422,Christianshavns Skole,Grundskoler,Folkeskoler,"(55.674008557273595, 12.596668921721498)"
25,101050,5.2,5.4,101,55.6631089602849,12.6088427991237,2300,Skolen på Amagerbro,Grundskoler,Folkeskoler,"(55.6631089602849, 12.6088427991237)"
26,101052,6.2,6.5,101,55.6467457419843,12.603824731219401,2300,Højdevangens Skole,Grundskoler,Folkeskoler,"(55.6467457419843, 12.603824731219401)"
27,101053,7.4,7.5,101,55.6532315899916,12.628020114748399,2300,Skolen ved Sundet,Grundskoler,Folkeskoler,"(55.6532315899916, 12.628020114748399)"
28,101058,6.4,6.3,101,55.664994202965495,12.613406966616399,2300,Lergravsparkens Skole,Grundskoler,Folkeskoler,"(55.664994202965495, 12.613406966616399)"
29,101059,7.1,7.4,101,55.6629241401929,12.583199412125799,2300,Skolen på Islands Brygge,Grundskoler,Folkeskoler,"(55.6629241401929, 12.583199412125799)"
30,101060,6.3,5.9,101,55.655356332401894,12.596598560878999,2300,Peder Lykke Skolen,Grundskoler,Folkeskoler,"(55.655356332401894, 12.596598560878999)"
