,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,student_count,navn,institutionstype2,institutionstype3,coordinates
0,101001,7.3,7.1,101.0,55.6729159978565,12.575738616700999,1552.0,484.0,Den Classenske Legatskole,Grundskoler,Folkeskoler,"(55.6729159978565, 12.575738616700999)"
1,101003,7.4,7.4,101.0,55.69057241088161,12.5862454099148,1350.0,541.0,Nyboder Skole,Grundskoler,Folkeskoler,"(55.69057241088161, 12.5862454099148)"
2,101005,7.7,7.8,101.0,55.686493209469496,12.5832427650795,1307.0,450.0,Sølvgades Skole,Grundskoler,Folkeskoler,"(55.686493209469496, 12.5832427650795)"
3,101007,6.1,6.0,101.0,55.6902881167035,12.544704464126301,2200.0,643.0,Nørrebro Park Skole,Grundskoler,Folkeskoler,"(55.6902881167035, 12.544704464126301)"
4,101008,6.0,6.1,101.0,55.687825641869004,12.550209992394901,2200.0,463.0,Blågård Skole,Grundskoler,Folkeskoler,"(55.687825641869004, 12.550209992394901)"
5,101011,6.4,6.5,101.0,55.704386340680706,12.508446326404,2700.0,785.0,Bellahøj Skole,Grundskoler,Folkeskoler,"(55.704386340680706, 12.508446326404)"
6,101012,6.2,6.6,101.0,55.704169199945405,12.4947869758271,2700.0,676.0,Brønshøj Skole,Grundskoler,Folkeskoler,"(55.704169199945405, 12.4947869758271)"
7,101015,5.8,5.6,101.0,55.6988371703698,12.5272299764227,2400.0,466.0,Grøndalsvængets Skole,Grundskoler,Folkeskoler,"(55.6988371703698, 12.5272299764227)"
8,101017,6.4,6.5,101.0,55.7060885641584,12.473761688803698,2700.0,600.0,Husum Skole,Grundskoler,Folkeskoler,"(55.7060885641584, 12.473761688803698)"
9,101018,7.0,7.3,101.0,55.6848392747371,12.4815099396248,2720.0,755.0,Hyltebjerg Skole,Grundskoler,Folkeskoler,"(55.6848392747371, 12.4815099396248)"
10,101019,7.4,7.4,101.0,55.690223062739,12.4987635776381,2720.0,832.0,Katrinedals Skole,Grundskoler,Folkeskoler,"(55.690223062739, 12.4987635776381)"
11,101020,5.4,6.3,101.0,55.696308780138,12.482887762769302,2720.0,799.0,Kirkebjerg Skole,Grundskoler,Folkeskoler,"(55.696308780138, 12.482887762769302)"
12,101021,5.3,5.4,101.0,55.7095599787281,12.4693256156746,2700.0,703.0,Korsager Skole,Grundskoler,Folkeskoler,"(55.7095599787281, 12.4693256156746)"
13,101022,6.2,6.3,101.0,55.697004850485705,12.507010821589802,2720.0,721.0,Rødkilde Skole,Grundskoler,Folkeskoler,"(55.697004850485705, 12.507010821589802)"
14,101023,4.2,4.8,101.0,55.7190877977116,12.484466885778401,2700.0,419.0,Tingbjerg Skole,Grundskoler,Folkeskoler,"(55.7190877977116, 12.484466885778401)"
15,101024,6.2,6.3,101.0,55.6864665871815,12.4816166015543,2720.0,380.0,Vanløse Skole,Grundskoler,Folkeskoler,"(55.6864665871815, 12.4816166015543)"
16,101029,4.5,4.7,101.0,55.7097800671489,12.533511075824,2400.0,456.0,Tagensbo Skole,Grundskoler,Folkeskoler,"(55.7097800671489, 12.533511075824)"
17,101030,7.7,7.6,101.0,55.724450197991295,12.5287620322137,2400.0,665.0,Holbergskolen,Grundskoler,Folkeskoler,"(55.724450197991295, 12.5287620322137)"
18,101034,5.9,5.7,101.0,55.699025080831206,12.5495949937569,2200.0,551.0,Rådmandsgades Skole,Grundskoler,Folkeskoler,"(55.699025080831206, 12.5495949937569)"
19,101035,6.9,6.7,101.0,55.693185103816205,12.5531439907036,2200.0,823.0,Guldberg Skole,Grundskoler,Folkeskoler,"(55.693185103816205, 12.5531439907036)"
20,101039,7.5,7.4,101.0,55.7057827485052,12.5807941283846,2100.0,486.0,Randersgades Skole,Grundskoler,Folkeskoler,"(55.7057827485052, 12.5807941283846)"
21,101041,6.6,7.1,101.0,55.71124434353129,12.579208584077598,2100.0,586.0,Strandvejsskolen,Grundskoler,Folkeskoler,"(55.71124434353129, 12.579208584077598)"
22,101042,6.8,6.8,101.0,55.7087556166683,12.5788239345057,2100.0,594.0,Vibenshus Skole,Grundskoler,Folkeskoler,"(55.7087556166683, 12.5788239345057)"
23,101043,8.6,8.2,101.0,55.692564602145005,12.5775684168944,2100.0,610.0,Øster Farimagsgades Skole,Grundskoler,Folkeskoler,"(55.692564602145005, 12.5775684168944)"
